conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,τεχνικός διευθυντής/τεχνική διευθύντρια,"τεχνικός διευθυντής
τεχνικός υπεύθυνος
τεχνική διευθύντρια
μηχανικός σκηνής
τεχνική υπεύθυνη",,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί διευθυντές υλοποιούν το καλλιτεχνικό όραμα των δημιουργών στο πλαίσιο των τεχνικών περιορισμών. Συντονίζουν τη λειτουργία διάφορων μονάδων παραγωγής, που αφορούν, μεταξύ άλλων, τα σκηνικά, τα κοστούμια, τον ήχο και τον φωτισμό, καθώς και το μακιγιάζ. Προσαρμόζουν το πρωτότυπο και μελετούν τη δυνατότητα υλοποίησης, την εφαρμογή, τη λειτουργία και την τεχνική παρακολούθηση του καλλιτεχνικού έργου. Είναι επίσης υπεύθυνοι για τον εξοπλισμό σκηνής και τον τεχνικό εξοπλισμό.",2654.1.7,http://data.europa.eu/ux2/nace2.1/9031
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,χειριστής μηχανών εξόλκησης μετάλλων/χειρίστρια μηχανών εξόλκησης μετάλλων,"χειρίστρια μηχανής εξέλκυσης μετάλλων
χειριστής μηχανής εξέλκυσης μετάλλων",,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι χειριστές μηχανών εξόλκησης μετάλλων ρυθμίζουν και χειρίζονται μηχανές εξόλκησης για σιδηρούχα και μη σιδηρούχα προϊόντα μετάλλου, οι οποίες έχουν σχεδιαστεί για να δίνουν συγκεκριμένη μορφή σε σύρματα, ράβδους, αγωγούς, κοίλα προφίλ και σωλήνες, μειώνοντας τη διατομή και τραβώντας τα υπό κατεργασία υλικά μέσα σε διάφορες μήτρες εξόλκησης.",8121.4,http://data.europa.eu/ux2/nace2.1/242
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,επιθεωρητής συσκευών ακριβείας/επιθεωρήτρια συσκευών ακριβείας,"επιθεωρητής συσκευών ακριβείας
επιθεωρήτρια συσκευών ακριβείας",,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι επιθεωρητές συσκευών ακριβείας εξασφαλίζουν τη λειτουργία συσκευών ακριβείας, όπως μικρόμετρα και μετρητές, σύμφωνα με τις προδιαγραφές σχεδιασμού. Μπορούν να προσαρμόζουν τις συσκευές ακριβείας και τα κατασκευαστικά στοιχεία τους σε περίπτωση βλαβών.",7543.10.3,http://data.europa.eu/ux2/nace2.1/2651
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,τεχνικός συστημάτων ασφάλειας εναέριας κυκλοφορίας,,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί συστημάτων ασφάλειας εναέριας κυκλοφορίας παρέχουν τεχνική υποστήριξη όσον αφορά την ασφάλεια των συστημάτων ελέγχου εναέριας κυκλοφορίας και αεροναυτιλίας. Σχεδιάζουν, συντηρούν, εγκαθιστούν και χειρίζονται αυτά τα συστήματα τόσο στον αερολιμένα όσο και στο αεροπλάνο, σύμφωνα με τους κανονισμούς.",3155.1,http://data.europa.eu/ux2/nace2.1/5223
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,υπεύθυνος διαχείρισης εσόδων ξενοδοχειακής επιχείρησης/υπεύθυνη διαχείρισης εσόδων ξενοδοχειακής επιχείρησης,"υπεύθυνος λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνη μεγιστοποίησης εσόδων τουριστικής επιχείρησης
διευθυντής διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
διευθύντρια διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
υπεύθυνη λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνος μεγιστοποίησης εσόδων τουριστικής επιχείρησης
υπεύθυνη διαχείρισης κερδοφορίας ξενοδοχείου
υπεύθυνος διαχείρισης κερδοφορίας ξενοδοχείου",,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υπεύθυνοι διαχείρισης εσόδων ξενοδοχειακής επιχείρησης μεγιστοποιούν τα έσοδα που παράγονται από εγκαταστάσεις φιλοξενίας όπως ξενοδοχεία, τουριστικά θέρετρα και κατασκηνώσεις, αναλύοντας τις τάσεις και τον ανταγωνισμό. Βοηθούν τους διαχειριστές των επιχειρήσεων στη λήψη στρατηγικών αποφάσεων. Οι υπεύθυνοι διαχείρισης εσόδων ξενοδοχειακής επιχείρησης ασχολούνται με την ανάλυση και τη βελτιστοποίηση των οικονομικών δυνατοτήτων των εγκαταστάσεων και διευθύνουν το αντίστοιχο προσωπικό.",2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55"
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,βοηθός ιατρικού εργαστηρίου,βοηθός ιατρικών εργαστηρίων,,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι βοηθοί ιατρικού εργαστηρίου εργάζονται υπό την επίβλεψη του βιοϊατρικού επιστήμονα και διενεργούν βασικές εργαστηριακές διαδικασίες. Ασχολούνται με προκαταρκτικές εργασίες πριν από την ανάλυση των δειγμάτων, όπως ο έλεγχος των στοιχείων των δειγμάτων που λήφθηκαν για ανάλυση, η συντήρηση των αναλυτών, η φόρτωση των αντιδραστηρίων και η συσκευασία των δειγμάτων. Εκτελούν επίσης εργασίες γραφείου, όπως η παρακολούθηση του αποθέματος των αντιδραστηρίων που χρησιμοποιούνται στις αναλύσεις.",3212.2,http://data.europa.eu/ux2/nace2.1/861
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,τεχνικός εργαστηρίου ασφαλτικών,,,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί εργαστηρίου ασφαλτικών εκτελούν επιθεωρήσεις και εργαστηριακές δοκιμές σε άσφαλτο και συναφείς πρώτες ύλες, εξασφαλίζοντας την υψηλή ποιότητα των προϊόντων. Επίσης, συμμετέχουν στη λήψη αποφάσεων επί τεχνικών θεμάτων σε εργοτάξια.",3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399"
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,βοηθός εκπαιδευτικού πρωτοβάθμιας εκπαίδευσης,,,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι βοηθοί εκπαιδευτικού πρωτοβάθμιας εκπαίδευσης παρέχουν διδακτική και πρακτική υποστήριξη σε εκπαιδευτικούς της εν λόγω βαθμίδας. Παρέχουν ενισχυτική διδασκαλία σε μαθητές που χρειάζονται επιπλέον προσοχή και προετοιμάζουν το υλικό που χρειάζεται ο εκπαιδευτικός στην τάξη. Εκτελούν επίσης εργασίες γραφείου, παρακολουθούν τη μαθησιακή πρόοδο και τη συμπεριφορά των μαθητών, και εποπτεύουν τους μαθητές με και χωρίς την παρουσία του βασικού δασκάλου.",5312.2,http://data.europa.eu/ux2/nace2.1/852
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,φυσιοθεραπευτής/φυσιοθεραπεύτρια,"φυσιοθεραπεύτρια
φυσιοθεραπευτής
κινησιοθεραπεύτρια
υδροθεραπεύτρια
υδροθεραπευτής
αθλητική φυσιοθεραπεύτρια
κινησιοθεραπευτής
αθλητικός φυσιοθεραπευτής",,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι φυσιοθεραπευτές είναι αυτόνομοι επαγγελματίες του τομέα της υγείας, υπεύθυνοι για την ανάπτυξη, τη διατήρηση ή την αποκατάσταση της κινητικής λειτουργίας και της κινητικότητας σε όλη τη διάρκεια της ζωής, με τη χρήση τεκμηριωμένης πρακτικής. Μεριμνούν για την ανακούφιση από τον πόνο και την αντιμετώπιση ή την πρόληψη των σωματικών παθήσεων που συνδέονται με σωματική βλάβη, ασθένεια ή άλλα προβλήματα. Οι φυσιοθεραπευτές ενδυναμώνουν τους ασθενείς και τους φροντιστές τους ώστε να διαχειρίζονται την πάθησή τους εκτός κλινικού περιβάλλοντος. Εργάζονται στο πλαίσιο του πεδίου της πρακτικής τους και του επαγγελματικού κώδικα δεοντολογίας. ",2264.2,http://data.europa.eu/ux2/nace2.1/8695
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος/καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος,"καθηγήτρια υποκριτικής
καθηγητής υποκριτικής
καθηγητής υποκριτικής σε σχολή τελεστικών τεχνών
καθηγητής θεάτρου σε σχολή τελεστικών τεχνών
καθηγήτρια θεάτρου σε σχολή τελεστικών τεχνών
καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος
καθηγήτρια υποκριτικής σε σχολή τελεστικών τεχνών
καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος",,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι καθηγητές υποκριτικής σε σχολή τεχνών του θεάματος διδάσκουν στους σπουδαστές ειδικά θεωρητικά και, κατά κύριο λόγο, πρακτικά μαθήματα σε εξειδικευμένη σχολή θεάτρου ή δραματική σχολή ή ωδείο, σε επίπεδο τριτοβάθμιας εκπαίδευσης. Παρέχουν το απαραίτητο θεωρητικό υπόβαθρο για την εκμάθηση των πρακτικών δεξιοτήτων και τεχνικών που οι σπουδαστές πρέπει στη συνέχεια να κατέχουν στο θέατρο. Οι καθηγητές υποκριτικής σε σχολή τεχνών του θεάματος παρακολουθούν την πρόοδο των σπουδαστών, βοηθούν μεμονωμένα όταν είναι αναγκαίο, και αξιολογούν τη γνώση και τις επιδόσεις στη θεατρική πρακτική μέσω εργασιών, δοκιμασιών και εξετάσεων.",2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853"
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,χειριστής εξοπλισμού υδρογόνωσης/χειρίστρια εξοπλισμού υδρογόνωσης,"χειρίστρια εξοπλισμού υδρογόνωσης
χειριστής συσκευής για την υδρογόνωση των λαδιών και των φυτικών λιπών/χειρίστρια συσκευής για την υδρογόνωση των λαδιών και των φυτικών λιπών
χειριστής συσκευής υδρογόνωσης λαδιών και φυτικών λιπών
υπεύθυνη στερεοποίησης ελαίων και λιπών μέσω υδρογόνωσης
υπεύθυνος στερεοποίησης ελαίων και λιπών μέσω υδρογόνωσης
χειρίστρια συσκευής για την υδρογόνωση των λαδιών και των φυτικών λιπών
χειρίστρια συσκευής υδρογόνωσης λαδιών και φυτικών λιπών
χειριστής συσκευής υδρογόνωσης λαδιών και φυτικών λιπών/χειρίστρια συσκευής υδρογόνωσης λαδιών και φυτικών λιπών
υπεύθυνος στερεοποίησης ελαίων και λιπών μέσω υδρογόνωσης/υπεύθυνη στερεοποίησης ελαίων και λιπών μέσω υδρογόνωσης
χειριστής συσκευής για την υδρογόνωση των λαδιών και των φυτικών λιπών
χειριστής εξοπλισμού υδρογόνωσης",,released,2024-01-24T09:18:05.061Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι χειριστές εξοπλισμού υδρογόνωσης ελέγχουν τον εξοπλισμό για την επεξεργασία ελαίων βάσης για την παρασκευή μαργαρίνης και μαγειρικού λίπους.,8160.39,http://data.europa.eu/ux2/nace2.1/104
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,χειριστής μηχανής παρασκευής ζυμαρικών/χειρίστρια μηχανής παρασκευής ζυμαρικών,"τεχνίτρια ζυμαρικών
χειρίστρια μηχανημάτων παραγωγής ζυμαρικών
χειριστής/χειρίστρια μηχανημάτων παραγωγής ζυμαρικών
χειριστής μηχανής παραγωγής ζυμαρικών
εργάτης/εργάτρια βιομηχανίας ζυμαρικών
τεχνίτης/τεχνίτρια ζυμαρικών
τεχνίτης ζυμαρικών
εργάτης βιομηχανίας ζυμαρικών
χειριστής μηχανημάτων παραγωγής ζυμαρικών
χειριστής/χειρίστρια μηχανής παραγωγής ζυμαρικών
χειρίστρια μηχανής παραγωγής ζυμαρικών
χειρίστρια μηχανής παρασκευής ζυμαρικών
εργάτρια βιομηχανίας ζυμαρικών
χειριστής μηχανής παρασκευής ζυμαρικών",,released,2024-02-22T16:06:16.592Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι χειριστές μηχανής παρασκευής ζυμαρικών παράγουν ξηρά ζυμαρικά. Ξεφορτώνουν τις πρώτες ύλες από σιλό αποθήκευσης και συστήματα παράδοσης συστατικών. Οι εν λόγω χειριστές αναμιγνύουν, πιέζουν και εξωθούν τα υλικά για να επιτύχουν τα επιθυμητά επίπεδα ξήρανσης των ζυμαρικών.",8160.46,http://data.europa.eu/ux2/nace2.1/1073
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,διευθυντής καπνοπωλείου/διευθύντρια καπνοπωλείου,"διευθυντής καπνοπωλείου
διευθύντρια καπνοπωλείου",,released,2024-01-26T16:51:59.766Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι διευθυντές καπνοπωλείου έχουν την ευθύνη για τις δραστηριότητες και το προσωπικό σε εξειδικευμένα καταστήματα.,1420.4.42,http://data.europa.eu/ux2/nace2.1/4726
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"εκπρόσωπος γραφείου ενοικίασης μηχανημάτων, εξοπλισμού και λοιπών υλικών αγαθών",,,released,2024-01-25T09:35:09.037Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι εκπρόσωποι γραφείου ενοικίασης μηχανημάτων, εξοπλισμού και λοιπών υλικών αγαθών είναι υπεύθυνοι για την ενοικίαση εξοπλισμού και τον καθορισμό συγκεκριμένων περιόδων χρήσης. Καταγράφουν συναλλαγές, ασφάλειες και πληρωμές.",5249.2.1,http://data.europa.eu/ux2/nace2.1/7739
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,μηχανικός μεταλλείων,μεταλλουργός,,released,2024-01-25T15:10:08.054Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι μηχανικοί μεταλλείων καταρτίζουν και τηρούν σχέδια εξόρυξης σύμφωνα με τις κανονιστικές και διαχειριστικές απαιτήσεις. Τηρούν αρχεία για τη φυσική πρόοδο των εξορυκτικών δραστηριοτήτων και για την παραγωγή μεταλλευμάτων ή ορυκτών.,2165.4.2,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/0891,
http://data.europa.eu/ux2/nace2.1/07,
http://data.europa.eu/ux2/nace2.1/4312,
http://data.europa.eu/ux2/nace2.1/0899"
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,ειδικός ασφάλειας τροφίμων/ειδική ασφάλειας τροφίμων,"υπεύθυνη υγιεινής τροφίμων
επιθεωρητής ασφάλειας τροφίμων
υπεύθυνη ασφάλειας τροφίμων
επιθεωρήτρια ασφάλειας τροφίμων
υπεύθυνος υγιεινής τροφίμων
υπεύθυνος ασφάλειας τροφίμων",,released,2024-01-25T10:40:47.807Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι ειδικοί ασφάλειας τροφίμων οργανώνουν και εφαρμόζουν διαδικασίες για την αποφυγή προβλημάτων όσον αφορά την ασφάλεια των τροφίμων και συμμορφώνονται με κανονισμούς.,2263.2,http://data.europa.eu/ux2/nace2.1/10
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,τεχνικός συντήρησης και επισκευής χερσαίων μηχανημάτων,"συντηρήτρια γεωργικών μηχανημάτων
τεχνικός αγροτικών μηχανημάτων
μηχανικός ειδικευμένος στα γεωργικά μηχανήματα
συντηρητής γεωργικών μηχανημάτων",,released,2024-01-25T10:01:35.496Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί συντήρησης και επισκευής χερσαίων μηχανημάτων συντηρούν, αναβαθμίζουν και επισκευάζουν κατά βάση γεωργικό εξοπλισμό και μηχανήματα.",7233.8,http://data.europa.eu/ux2/nace2.1/3312
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,οδηγός λεωφορείου,οδηγός πούλμαν,,released,2024-01-16T13:08:38.228Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι οδηγοί λεωφορείων χειρίζονται λεωφορεία ή πούλμαν, εισπράττουν ναύλους και εξυπηρετούν τους επιβάτες.",8331.1,"http://data.europa.eu/ux2/nace2.1/4931,
http://data.europa.eu/ux2/nace2.1/4932"
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,διευθυντής εισαγωγών-εξαγωγών κρέατος και προϊόντων με βάση το κρέας/διευθύντρια εισαγωγών-εξαγωγών κρέατος και προϊόντων με βάση το κρέας,"διευθύντρια εισαγωγών-εξαγωγών κρέατος και προϊόντων με βάση το κρέας
διευθυντής εισαγωγών-εξαγωγών κρέατος και προϊόντων με βάση το κρέας",,released,2024-01-26T11:38:36.28Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι διευθυντές εισαγωγών-εξαγωγών κρέατος και προϊόντων με βάση το κρέας εγκαθιστούν και διατηρούν διαδικασίες για τις διασυνοριακές επιχειρηματικές δραστηριότητες, καθώς και για τον συντονισμό των εσωτερικών και εξωτερικών μερών.",1324.3.2.22,"http://data.europa.eu/ux2/nace2.1/4617,
http://data.europa.eu/ux2/nace2.1/4632"
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,υπεύθυνος στεγαστικής πολιτικής/υπεύθυνη στεγαστικής πολιτικής,"υπεύθυνη οικιστικής πολιτικής
υπεύθυνος οικιστικής πολιτικής
υπεύθυνος οικιστικών θεμάτων
υπεύθυνος στεγαστικών θεμάτων
υπεύθυνη στεγαστικών θεμάτων
υπεύθυνη θεμάτων στέγασης
υπεύθυνος στεγαστικών θεμάτων/υπεύθυνη στεγαστικών θεμάτων
υπεύθυνος οικιστικών θεμάτων/υπεύθυνη οικιστικών θεμάτων
υπεύθυνη οικιστικών θεμάτων
υπεύθυνη στεγαστικής πολιτικής
υπεύθυνος πολιτικής στέγασης
υπεύθυνος θεμάτων στέγασης
υπεύθυνος πολιτικής στέγασης/υπεύθυνη πολιτικής στέγασης
υπεύθυνη πολιτικής στέγασης
υπεύθυνος στεγαστικής πολιτικής
υπεύθυνος θεμάτων στέγασης/υπεύθυνη θεμάτων στέγασης",λειτουργός πολεοδομίας,released,2023-10-31T17:37:46.596Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υπεύθυνοι στεγαστικής πολιτικής ερευνούν, αναλύουν και αναπτύσσουν πολιτικές στέγασης, οι οποίες καθιστούν δυνατή την παροχή οικονομικά προσιτής και κατάλληλης στέγης για όλους. Εφαρμόζουν αυτές τις πολιτικές με σκοπό να βελτιώσουν τις συνθήκες στέγασης του πληθυσμού με μέτρα όπως η κατασκευή οικονομικά προσιτής στέγης, η στήριξη των ατόμων για την αγορά ακίνητης περιουσίας και η βελτίωση των συνθηκών που επικρατούν στις υφιστάμενες κατοικίες. Οι υπεύθυνοι στεγαστικής πολιτικής συνεργάζονται στενά με εταίρους, εξωτερικούς οργανισμούς ή άλλα ενδιαφερόμενα μέρη, παρέχοντάς τους τακτική ενημέρωση.",2422.12.8,http://data.europa.eu/ux2/nace2.1/8412
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,επικεφαλής σεφ,"αρχιμάγειρας
υπεύθυνη κουζίνας
αρχιμαγείρισσα
υπεύθυνος κουζίνας
διευθύντρια κουζίνας
διευθυντής της κουζίνας
διευθυντής κουζίνας
αρχι-σεφ
επικεφαλής της κουζίνας
διευθύντρια της κουζίνας",,released,2024-01-26T12:38:03.594Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι επικεφαλής σεφ διευθύνουν την κουζίνα επιβλέποντας την προετοιμασία, το μαγείρεμα και το σερβίρισμα των τροφίμων.",3434.1.1,http://data.europa.eu/ux2/nace2.1/5611
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,χειριστής μηχανών παραγωγής μη υφασμένων υφασμάτων/χειρίστρια μηχανής παραγωγής μη υφασμένων υφασμάτων,"χειρίστρια μηχανής παραγωγής μη υφάνσιμου νήματος
χειριστής μηχανής παραγωγής μη υφάνσιμου νήματος",,released,2023-12-19T10:24:29.092Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι χειριστές μηχανών παραγωγής μη υφασμένων υφασμάτων εκτελούν εργασίες χημικής επεξεργασίας των εν λόγω υφασμάτων.,8131.15,http://data.europa.eu/ux2/nace2.1/1395
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,πρόεδρος τριτοβάθμιου εκπαιδευτικού ιδρύματος,"πρύτανης
πρόεδρος ανώτερου εκπαιδευτικού ιδρύματος
πρόεδρος τεχνολογικού εκπαιδευτικού ιδρύματος",,released,2024-01-26T12:43:59.132Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι πρόεδροι τριτοβάθμιου εκπαιδευτικού ιδρύματος διαχειρίζονται τις καθημερινές δραστηριότητες ενός τριτοβάθμιου εκπαιδευτικού ιδρύματος, όπως τα κολέγια ή οι επαγγελματικές σχολές. Οι πρόεδροι τριτοβάθμιου εκπαιδευτικού ιδρύματος λαμβάνουν αποφάσεις σχετικά με τις εγγραφές, και είναι υπεύθυνοι για την τήρηση των προγραμμάτων σπουδών που διευκολύνουν την ακαδημαϊκή ανάπτυξη των σπουδαστών. Διαχειρίζονται το προσωπικό, τον προϋπολογισμό της σχολής και τα εκπαιδευτικά προγράμματα, και επιβλέπουν την επικοινωνία μεταξύ των υπηρεσιών. Διασφαλίζουν επίσης ότι το ίδρυμα πληροί τις εθνικές απαιτήσεις εκπαίδευσης που ορίζει ο νόμος.",1345.1.5,http://data.europa.eu/ux2/nace2.1/8569
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,εργοδηγός μονωτικών εργασιών,"υπεύθυνος μονωτικών εργασιών
υπεύθυνη μονωτικών εργασιών",,released,2025-07-29T10:55:01.302Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι εργοδηγοί μονωτικών εργασιών παρακολουθούν τις εργασίες μόνωσης. Αναθέτουν καθήκοντα και λαμβάνουν γρήγορες αποφάσεις για την επίλυση προβλημάτων.,3123.1.13,http://data.europa.eu/ux2/nace2.1/4323
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,μηχανικός αποσυναρμολόγησης,,,released,2024-01-29T16:00:05.821Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι μηχανικοί αποσυναρμολόγησης ερευνούν και σχεδιάζουν τον βέλτιστο τρόπο αποσυναρμολόγησης του βιομηχανικού εξοπλισμού, των μηχανημάτων και των κτιρίων που έφθασαν στο τέλος του κύκλου ζωής τους. Αναλύουν τις απαιτούμενες εργασίες και προγραμματίζουν τις διάφορες διαδικασίες. Δίνουν οδηγίες στους επικεφαλής των ομάδων και εποπτεύουν το έργο τους.",2149.8,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/3821"
