conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/62f53135-e091-4aa6-8895-5851d72271b9,8160,χειριστής διαυγαστήρα/χειρίστρια διαυγαστήρα,"χειρίστρια διαυγαστήρα
χειρίστρια μηχανήματος διαχωρισμού και καθαρισμού ελαιόλαδου
χειριστές ελαιουργικών μηχανημάτων
χειριστής διαχωριστήρα ελαίων
χειριστής διαυγαστήρα
χειριστής μηχανήματος διαχωρισμού και καθαρισμού ελαιόλαδου
χειρίστρια διαχωριστήρα ελαίων",,released,2024-01-16T09:39:14.465Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι χειριστές διαυγαστήρα χειρίζονται εξοπλισμό για την απομάκρυνση των ιζημάτων και της υγρασίας από την ελαιομαργαρίνη και τα έλαια. Θερμαίνουν τη δεξαμενή διαύγασης με ατμό και φίλτρα για τη διαδικασία διαύγασης. Απομακρύνουν τις ξένες ουσίες από την επιφάνεια των στρώσεων ζεστής μαργαρίνης ή ελαίου χρησιμοποιώντας ξαφριστήρια.,8160.19,http://data.europa.eu/ux2/nace2.1/1041
Occupation,http://data.europa.eu/esco/occupation/63042e8f-dd59-47fe-87f3-3b2ce21f196a,7223,χειριστής αυτόματου τόρνου/χειρίστρια αυτόματου τόρνου,"χειριστής αυτόματου τόρνου
χειρίστρια αυτόματου τόρνου",,released,2024-01-23T14:45:35.667Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι χειριστές αυτόματου τόρνου εγκαθιστούν, προγραμματίζουν και χειρίζονται τους εν λόγω τόρνους, που προορίζονται για την αποκοπή πλεονάζοντος μετάλλου από κάποιο μεταλλικό αντικείμενο, με τη χρήση σκληρυμένου εργαλείου κοπής που κινείται μέσω ελεγχόμενων από υπολογιστή μηχανισμών. Συμβουλεύονται τα σχέδια εγκατάστασης και τις οδηγίες χρήσης των αυτόματων τόρνων, εκτελούν τακτική συντήρηση και προβαίνουν σε προσαρμογές στις ρυθμίσεις των τόρνων όσον αφορά το βάθος των κοπών και την ταχύτητα περιστροφής.",7223.4.4,http://data.europa.eu/ux2/nace2.1/2815
Occupation,http://data.europa.eu/esco/occupation/631aaef2-2d67-45c6-93a6-1b1abdf57542,4213,ενεχυροδανειστής/ενεχυροδανείστρια,"ιδιοκτήτρια ενεχυροδανειστηρίου
διευθύντρια ενεχυροδανειστηρίου
ιδιοκτήτης ενεχυροδανειστηρίου
ενεχυροδανειστής
δανείστρια
δανειστής
διευθυντής ενεχυροδανειστηρίου
ενεχυροδανείστρια",,released,2024-01-23T12:21:36.284Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι ενεχυροδανειστές προσφέρουν δάνεια σε πελάτες, εξασφαλίζοντάς τα με προσωπικά είδη ή αντικείμενα. Αξιολογούν τα προσωπικά είδη που παρέχονται ως αντάλλαγμα για το δάνειο, προσδιορίζουν την αξία τους και το διαθέσιμο ποσό δανείου, και παρακολουθούν τα στοιχεία που περιλαμβάνονται στο απόθεμά τους.",4213.1,http://data.europa.eu/ux2/nace2.1/6492
Occupation,http://data.europa.eu/esco/occupation/631e504f-0db4-4e03-bf90-3f00d550170f,3114,τεχνικός τεχνολογίας αισθητήρων,"βοηθός μηχανικού τεχνολογίας αισθητήρων
σχεδιαστής αισθητήρων
τεχνολόγος τεχνολογίας αισθητήρων
τεχνικός αισθητήρων
τεχνολόγος αισθητήρων
σχεδιάστρια αισθητήρων",,released,2024-01-24T15:21:47.679Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί τεχνολογίας αισθητήρων συνεργάζονται με τους αντίστοιχους μηχανικούς για την ανάπτυξη αισθητήρων, συστημάτων αισθητήρων και προϊόντων που είναι εξοπλισμένα με αισθητήρες. Ο ρόλος τους είναι η κατασκευή, η δοκιμή, η συντήρηση και η επισκευή του εν λόγω εξοπλισμού.",3114.1.10,"http://data.europa.eu/ux2/nace2.1/28,
http://data.europa.eu/ux2/nace2.1/26,
http://data.europa.eu/ux2/nace2.1/29,
http://data.europa.eu/ux2/nace2.1/30,
http://data.europa.eu/ux2/nace2.1/33,
http://data.europa.eu/ux2/nace2.1/27"
Occupation,http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143,1324,υπεύθυνος διανομής/υπεύθυνη διανομής,"διευθύντρια διανομής
διευθυντής διανομής",,released,2024-01-11T15:04:04.957Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι υπεύθυνοι διανομής σχεδιάζουν τη διανομή των εμπορευμάτων σε διάφορα σημεία πωλήσεων.,1324.3.1,http://data.europa.eu/ux2/nace2.1/46
Occupation,http://data.europa.eu/esco/occupation/6336c205-46bd-42f6-9e67-6b0be6e7618c,2114,υδρογεωλόγος,γεωλόγος με ειδίκευση στην υδρογεωλογία,,released,2023-08-08T12:38:46.667Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υδρογεωλόγοι μελετούν την κατανομή, την ποιότητα και τη ροή των υδάτων, ώστε οι εξορυκτικές εργασίες να είναι απαλλαγμένες από οχλήσεις των υδάτων και να εξασφαλίζεται επαρκής παροχή υδάτων επεξεργασίας. Παρέχουν και αξιολογούν πληροφορίες που θα προστατεύουν τα υπόγεια και τα επιφανειακά ύδατα από τη ρύπανση.",2114.1.4,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/091,
http://data.europa.eu/ux2/nace2.1/360,
http://data.europa.eu/ux2/nace2.1/062,
http://data.europa.eu/ux2/nace2.1/0891,
http://data.europa.eu/ux2/nace2.1/052"
Occupation,http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,4132,υπάλληλος εισαγωγής δεδομένων,"υπεύθυνος εισαγωγής δεδομένων
χειρίστρια δεδομένων
υπεύθυνη εισαγωγής δεδομένων
υπάλληλος για την εισαγωγή δεδομένων
χειρίστρια εισαγωγής δεδομένων
χειριστής εισαγωγής δεδομένων
χειριστής δεδομένων",,released,2024-01-16T14:32:17.965Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υπάλληλοι εισαγωγής δεδομένων επικαιροποιούν, διατηρούν και ανακτούν πληροφορίες που τηρούνται σε συστήματα πληροφορικής. Προετοιμάζουν δεδομένα πηγής για εισαγωγή σε ηλεκτρονικούς υπολογιστές συγκεντρώνοντας και ταξινομώντας πληροφορίες, και επεξεργάζονται πρωτότυπα έγγραφα πελατών και λογαριασμών, ελέγχοντας τα δεδομένα για ελλείψεις και επαληθεύοντας τα καταχωρισμένα δεδομένα πελατών και λογαριασμών.",4132.1,http://data.europa.eu/ux2/nace2.1/631
Occupation,http://data.europa.eu/esco/occupation/63c92723-ee86-42cb-89bf-d93b65398bef,1324,διευθυντής εισαγωγών-εξαγωγών ρολογιών και κοσμημάτων /διευθύντρια εισαγωγών-εξαγωγών ρολογιών και κοσμημάτων,"διευθύντρια εισαγωγών-εξαγωγών ρολογιών και κοσμημάτων
διευθυντής εισαγωγών-εξαγωγών ρολογιών και κοσμημάτων",,released,2016-07-05T17:30:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι διευθυντές εισαγωγών-εξαγωγών ρολογιών και κοσμημάτων εγκαθιστούν και διατηρούν διαδικασίες για τις διασυνοριακές επιχειρηματικές δραστηριότητες, καθώς και για τον συντονισμό των εσωτερικών και εξωτερικών μερών.",1324.3.2.34,"http://data.europa.eu/ux2/nace2.1/4615,
http://data.europa.eu/ux2/nace2.1/4648"
Occupation,http://data.europa.eu/esco/occupation/63d99701-1a6c-4c57-87c8-4b0d5c0b4408,5223,πωλητής ποτοπωλείου/πωλήτρια ποτοπωλείου,"ειδικευμένος  πωλητής ποτοπωλείου
ειδικευμένη πωλήτρια ποτοπωλείου",,released,2016-12-22T15:59:12Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι πωλητές ποτοπωλείου πωλούν ποτά σε ειδικευμένα καταστήματα.,5223.7.5,http://data.europa.eu/ux2/nace2.1/4725
Occupation,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,1321,διευθυντής μεταποίησης/διευθύντρια μεταποίησης,"διευθυντής μεταποίησης
υπεύθυνος μεταποίησης
διευθυντής παραγωγής
υπεύθυνος παραγωγής
διευθύντρια μεταποίησης
υπεύθυνη μεταποίησης
διευθύντρια παραγωγής
υπεύθυνη παραγωγής",manufacturing manager,released,2025-03-18T15:30:28.579Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι διευθυντές μεταποίησης σχεδιάζουν, εποπτεύουν και διευθύνουν τη διαδικασία κατασκευής σε έναν οργανισμό. Εξασφαλίζουν την αποδοτική παραγωγή των προϊόντων και των υπηρεσιών εντός του προβλεπόμενου χρονοδιαγράμματος και του προβλεπόμενου προϋπολογισμού.",1321.2,http://data.europa.eu/ux2/nace2.1/C
