conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/bac64fa2-dcd6-47bb-8e5c-04e04a86a199,γεωγράφος,released,βιογεωγράφος | ανθρωπογεωγράφος | φυσικός-γεωγράφος,"Οι γεωγράφοι είναι επιστήμονες που ασχολούνται με τη μελέτη της ανθρώπινης και της φυσικής γεωγραφίας. Ανάλογα με την ειδίκευσή τους, μελετούν πολιτικές, οικονομικές και πολιτισμικές πτυχές της ανθρωπότητας που περιέχονται στην ανθρώπινη γεωγραφία. Επιπλέον, μελετούν τους χερσαίους σχηματισμούς, τα εδάφη, τα εθνικά σύνορα και τις ροές υδάτων που περιέχονται στη φυσική γεωγραφία.",http://data.europa.eu/esco/isco/C2632,"Κοινωνιολόγοι, ανθρωπολόγοι και ασκούντες συναφή επαγγέλματα"
Occupation,http://data.europa.eu/esco/occupation/bb609566-3ab6-44dd-8f48-cf0b15b96827,μηχανικός αυτοματισμού,released,,"Οι μηχανικοί αυτοματισμού μελετούν, σχεδιάζουν και αναπτύσσουν εφαρμογές και συστήματα για την αυτοματοποίηση της διαδικασίας παραγωγής. Χρησιμοποιούν την τεχνολογία και μειώνουν, κατά περίπτωση, την ανθρώπινη συμμετοχή, ώστε να αξιοποιηθούν πλήρως οι δυνατότητες της βιομηχανικής ρομποτικής. Οι μηχανικοί αυτοματισμού επιβλέπουν τη διαδικασία και διασφαλίζουν την ομαλή και ασφαλή λειτουργία όλων των συστημάτων.",http://data.europa.eu/esco/occupation/d7380260-1386-4e36-98b5-8115ca4a3536,μηχανικός παραγωγής
Occupation,http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,κοσμολόγος,released,,"Οι κοσμολόγοι επικεντρώνονται στη μελέτη του σύμπαντος ως συνόλου, ήτοι στην προέλευση,  την εξέλιξη και την τελική του μοίρα. Χρησιμοποιούν εργαλεία και επιστημονικά μέσα για να παρατηρήσουν και να μελετήσουν άλλους γαλαξίες και αστρονομικά σώματα, όπως οι αστέρες, οι μαύρες τρύπες, οι πλανήτες και άλλα ουράνια σώματα.",http://data.europa.eu/esco/isco/C2111,Φυσικοί και αστρονόμοι
Occupation,http://data.europa.eu/esco/occupation/be3c021d-bd93-45a0-ad32-e8fa8e0d17ef,πανεπιστημιακός καθηγητής σύγχρονων γλωσσών/πανεπιστημιακή καθηγήτρια σύγχρονων γλωσσών,released,πανεπιστημιακός καθηγητής σύγχρονων γλωσσών | πανεπιστημιακή καθηγήτρια ισπανικής φιλολογίας | πανεπιστημιακή καθηγήτρια ιταλικής φιλολογίας | πανεπιστημιακός καθηγητής νέας ελληνικής φιλολογίας | πανεπιστημιακή καθηγήτρια γαλλικής φιλολογίας | πανεπιστημιακή καθηγήτρια αγγλικής φιλολογίας | πανεπιστημιακός καθηγητής αγγλικής φιλολογίας | πανεπιστημιακός καθηγητής γαλλικής φιλολογίας | πανεπιστημιακή καθηγήτρια νέας ελληνικής φιλολογίας | πανεπιστημιακή καθηγήτρια γερμανικής φιλολογίας | πανεπιστημιακός καθηγητής ισπανικής φιλολογίας | πανεπιστημιακή καθηγήτρια σύγχρονων γλωσσών | πανεπιστημιακός καθηγητής γερμανικής φιλολογίας | πανεπιστημιακός καθηγητής ιταλικής φιλολογίας,"Οι πανεπιστημιακοί καθηγητές σύγχρονων γλωσσών είναι καθηγητές, εκπαιδευτικοί ή λέκτορες που διδάσκουν σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαίδευσης το δικό τους εξειδικευμένο πεδίο σπουδών, τις σύγχρονες γλώσσες, οι οποίες έχουν κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, τη βαθμολόγηση των εργασιών και των εξετάσεων και την αξιολόγηση και ανατροφοδότηση των σπουδαστών. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον αντίστοιχο τομέα των σύγχρονων γλωσσών, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/bfc92738-128b-44f5-92d4-51b10df17961,φιλόσοφος,released,καθηγήτρια φιλοσοφίας | καθηγητής φιλοσοφίας,"Οι φιλόσοφοι ασχολούνται με τη μελέτη και την επιχειρηματολογία γύρω από γενικά και διαρθρωτικά προβλήματα που αφορούν την κοινωνία, τους ανθρώπους και τα άτομα. Διαθέτουν καλά ανεπτυγμένες ικανότητες σκέψης και επιχειρηματολογίας, για να συμμετέχουν σε συζητήσεις σχετικά με την ύπαρξη, τα συστήματα αξιών, τη γνώση ή την πραγματικότητα. Ανατρέχουν στη λογική καθώς διεξάγουν συζητήσεις που οδηγούν σε υψηλότερα επίπεδα εμβάθυνσης και αφαιρετικής σκέψης.",http://data.europa.eu/esco/isco/C2633,"Φιλόσοφοι, ιστορικοί και πολιτικοί επιστήμονες"
Occupation,http://data.europa.eu/esco/occupation/bff7e8a3-6206-4d38-b25f-fcb6e634c7af,πανεπιστημιακός καθηγητής αρχαιολογίας/πανεπιστημιακός καθηγητής αρχαιολογίας,released,καθηγήτρια αρχαιολογίας | αναπληρωτής καθηγητής αρχαιολογίας | πανεπιστημιακή καθηγήτρια αρχαιολογίας | καθηγητής αρχαιολογίας | λέκτορας αρχαιολογίας | λεκτόρισσα αρχαιολογίας | επίκουρη καθηγήτρια αρχαιολογίας | επίκουρος καθηγητής αρχαιολογίας | πανεπιστημιακός καθηγητής αρχαιολογίας | αναπληρώτρια καθηγήτρια αρχαιολογίας,"Οι πανεπιστημιακοί καθηγητές αρχαιολογίας είναι καθηγητές, εκπαιδευτικοί, ή λέκτορες, οι οποίοι διδάσκουν σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαίδευσης το δικό τους εξειδικευμένο πεδίο σπουδών, την αρχαιολογία, το οποίο έχει κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, για τη βαθμολόγηση των εργασιών και των εξετάσεων και την αξιολόγηση και ανατροφοδότηση των σπουδαστών. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον αντίστοιχο τομέα της αρχαιολογίας, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044,γεωργικός σύμβουλος/γεωργική σύμβουλος,released,γεωργική σύμβουλος | γεωργικός σύμβουλος | σύμβουλος γεωργικών εκμεταλλεύσεων | γεωργικός επιστήμονας,"Οι γεωργικοί σύμβουλοι ερευνούν και μελετούν το έδαφος, τα ζώα και τα φυτά, με στόχο τη βελτίωση των γεωργικών διαδικασιών, την ποιότητα των γεωργικών προϊόντων και τον αντίκτυπο των γεωργικών δραστηριοτήτων στο περιβάλλον. Σχεδιάζουν και υλοποιούν έργα, όπως αναπτυξιακά έργα για λογαριασμό ιδιωτών ή οργανισμών.",http://data.europa.eu/esco/isco/C2132,"Σύμβουλοι γεωργίας, δασοκομίας και αλιείας"
Occupation,http://data.europa.eu/esco/occupation/c262bb96-03bb-4c97-a45b-0cf36db5b048,επίκουρος καθηγητής/επίκουρη καθηγήτρια,released,επίκουρη καθηγήτρια | επίκουρος καθηγητής,"Οι επίκουροι καθηγητές μοιράζονται τον όγκο εργασίας με τους καθηγητές πανεπιστημίου ή κολεγίου, και ειδικότερα την παράδοση διαλέξεων στους φοιτητές. Προετοιμάζουν και διδάσκουν μαθήματα και συναντώνται με τους σπουδαστές κατ' ιδίαν για την αξιολόγηση. Συνδυάζουν επίσης το διδακτικό τους έργο και άλλα ακαδημαϊκά καθήκοντα με τη δική τους έρευνα στον τομέα σπουδών τους. Οι επίκουροι καθηγητές κατέχουν μια αυτόνομη θέση πλήρους απασχόλησης, παρά το τον συμπληρωματικό χαρακτήρα που μπορεί να υποδηλώνει ο τίτλος θέσης τους.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc,πανεπιστημιακός καθηγητής πληροφορικής/πανεπιστημιακή καθηγήτρια πληροφορικής,released,λεκτόρισσα | πανεπιστημιακή καθηγήτρια πληροφορικής | επίκουρη καθηγήτρια πληροφορικής | επίκουρος καθηγητής πληροφορικής | αναπληρωτής καθηγητής πληροφορικής | λέκτορας πληροφορικής | καθηγήτρια πληροφορικής | αναπληρώτρια καθηγήτρια πληροφορικής | καθηγητής πληροφορικής | πανεπιστημιακός καθηγητής πληροφορικής,"Οι πανεπιστημιακοί καθηγητές πληροφορικής είναι καθηγητές, εκπαιδευτικοί, ή λέκτορες οι οποίοι διδάσκουν σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαιδεύσεως τον δικό τους εξειδικευμένο τομέα σπουδών, την πληροφορική, ο οποίος έχει κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, βοηθούν στη βαθμολόγηση εργασιών και εξετάσεων και παρέχουν αξιολόγηση και ανατροφοδότηση στους σπουδαστές. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον τομέα της πληροφορικής, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/c549f0de-c415-428e-865c-973bcd224b39,πανεπιστημιακός καθηγητής γλωσσολογίας/πανεπιστημιακή καθηγήτρια γλωσσολογίας,released,καθηγήτρια γλωσσολογίας | αναπληρώτρια καθηγήτρια γλωσσολογίας | λεκτόρισσα γλωσσολογίας | επίκουρη καθηγήτρια γλωσσολογίας | πανεπιστημιακός καθηγητής γλωσσολογίας | επίκουρος καθηγητής γλωσσολογίας | καθηγητής γλωσσολογίας | αναπληρωτής καθηγητής γλωσσολογίας | λέκτορας γλωσσολογίας | πανεπιστημιακή καθηγήτρια γλωσσολογίας,"Οι πανεπιστημιακοί καθηγητές γλωσσολογίας είναι καθηγητές, εκπαιδευτικοί ή λέκτορες, οι οποίοι διδάσκουν σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαίδευσης το δικό τους εξειδικευμένο πεδίο σπουδών, τη γλωσσολογία, το οποίο έχει κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, για τη βαθμολόγηση των εργασιών και των εξετάσεων, παρέχουν αξιολόγηση και ανατροφοδότηση στους σπουδαστές. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον αντίστοιχο τομέα της γλωσσολογίας, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
